times,n,Tpara,Tperp
1592431786.092718,1.1464248,333.08694,314.55215
1592427563.532586,1.7293674,168.30687,167.28429
1592429595.311546,1.0414724,381.84473,427.5746
1592426783.671458,0.85066104,490.90417,411.83307
1592425818.5576808,0.96736103,478.26886,483.54343
1592432869.258107,1.3293399,202.37242,225.78833
1592426980.474269,1.1788408,392.77374,420.87204
1592429672.412642,0.6082873,637.3007,647.1845
1592429686.062827,0.71472603,489.41843,579.8428
1592434749.834789,1.0869898,442.31058,374.9377
1592426132.662165,1.03046,456.79868,433.25494
1592431672.391097,0.9471314,486.39224,511.8676
1592433388.715477,1.1696445,446.9223,431.07315
1592429089.2043378,1.1224877,439.12372,394.77695
1592431323.036122,4.3663187,87.165726,64.86588
1592427962.238276,0.6544574,938.8741,824.40967
1592425835.207924,1.1155785,421.43253,422.26007
1592426628.719246,1.0475658,433.59555,452.85208
1592429650.5123289,0.9798036,378.45425,502.91766
1592431136.583476,1.2224545,419.1873,413.67996
1592433414.5158458,1.2088494,418.0963,393.24738
1592430278.421269,1.3823789,140.08353,174.95525
1592429077.654168,0.915189,507.02502,478.61957
1592432077.396854,0.8827487,414.79645,337.0237
1592429031.603512,1.0813798,404.21063,382.69113
1592426140.3122802,1.047109,403.62573,421.344
1592427189.4272509,1.5170404,353.0336,341.47372
1592429900.565888,1.779477,179.88985,182.2751
1592431855.093698,1.0537319,594.2318,421.77612
1592427214.027594,0.92972594,465.8311,372.3137
1592433622.268799,1.3209491,290.74588,278.21
1592434477.130931,4.374944,135.59412,88.622665
1592428474.195574,0.7142442,793.09155,772.56384
1592426701.7702882,1.2827687,399.65634,412.31036
1592427928.337791,0.79651994,680.42914,628.57556
1592428143.5908558,0.6799528,933.07837,776.98816
1592426608.318961,0.9072698,561.8888,622.26654
1592427300.878835,1.3104862,438.91815,391.9836
1592427301.7788491,1.0986419,486.35837,467.0033
1592427086.525782,1.6108624,270.97778,226.60767
1592426359.165407,1.4395113,344.53015,351.9627
1592431656.49087,1.0266081,562.83466,548.65735
1592433844.7219489,1.5088195,138.3066,210.26779
1592428620.597656,2.1704848,194.87796,176.40135
1592427732.134996,1.2401372,411.14163,415.6642
1592433965.023652,4.234765,121.357796,75.00406
1592427970.33839,0.7036619,867.8743,791.8225
1592427399.1302478,1.2248994,382.87033,375.73337
1592427336.7293482,1.0062438,517.1039,429.38995
1592433222.063106,1.9571695,179.7159,196.66417
1592430297.771539,2.9494436,94.92445,91.48322
1592432209.098731,1.0440121,442.69806,348.72092
1592433645.069111,1.2470372,293.10565,266.74643
1592433251.013518,1.2313358,248.1002,346.37634
1592426905.773199,1.1281966,463.9597,475.39505
1592428436.995032,0.7043889,856.8686,773.5194
1592429467.209723,4.1194916,84.539536,72.708
1592426397.715949,1.2148974,428.77112,375.0747
1592427368.229804,1.3600786,412.02386,356.47244
1592432570.45386,1.1026412,371.35727,353.76865
1592426614.619047,1.2882351,448.0129,511.9352
1592433605.918557,1.5610554,153.48235,167.50925
1592429521.360492,1.4109695,164.46632,151.20447
1592433303.064257,1.0370871,364.27753,352.5795
1592426409.416119,1.3984665,456.81064,476.53806
1592431874.7439702,1.5914289,330.79532,212.84435
